station_id,pm25,median,lat,lon,station_name,cluster_id,cluster_name,n,spatial_block
ag_167654,36.53706340378198,32.3,43.3253,76.9676,№31 orta mektep,7,North Central,899,2
ag_167655,33.91197714285714,30.53,43.2735,76.8904,Jumysşy kenti (Krylov k-si),5,West Central,875,0
ag_167656,35.237079152731326,32.13,43.3118,76.9557,№162 mektep,7,North Central,897,2
ag_167659,25.895402160864343,26.43,43.1868,76.8599,Nuriddin (Arystanbab k-si) ,2,South Central,833,1
ag_167661,23.999671945701355,23.565,43.208327,76.819198,№206 mektep-gimnaziya,3,West Residential,884,1
ag_167662,41.23942093541203,32.115,43.4143,77.0315,"Ötegen Batyr, №24 litsei",9,Far North,898,4
ag_167663,39.08218020022247,33.63,43.3144,76.9657,№17 mektep,7,North Central,899,2
ag_167668,26.849752808988764,26.0,43.2197,76.8015,№157 mektep,1,Southwest Suburbs,890,1
ag_167670,39.154360400444936,33.87,43.3167,76.9266,Sūltan-Qorǵan (Bespaqov k-si),7,North Central,899,2
ag_167673,43.4997995545657,30.8,43.3382,76.8995,№179 mektep,7,North Central,898,2
ag_167674,28.090389321468297,25.97,43.2604,76.8725,№166 litsei,5,West Central,899,0
ag_167675,26.19582869855395,24.53,43.2607,76.8858,№14 mektep ,5,West Central,899,0
ag_167677,40.52794326241135,30.435,43.4737,76.9641,"Janatalap, №52 orta mektep",9,Far North,846,4
ag_167678,34.31385218365062,28.43,43.3175,77.2293,"Talǵar, ortalyq aýdandyq aýrýhana ",6,East Suburbs (Talgar),893,3
ag_167679,31.855324232081912,28.3,43.3049,76.9187,Avtomekhanikalyq kolledj ,7,North Central,879,2
ag_167680,30.895779510022276,28.175,43.2811,76.8806,№151 mektep,5,West Central,898,0
ag_167683,41.026610169491526,31.87,43.3575,76.9354,№128 Balabaqşasy (Şekspir k-si),7,North Central,885,2
ag_167687,27.236780045351477,26.885,43.21574,76.791652,№174 mektep-gimnaziya,1,Southwest Suburbs,882,1
ag_167688,26.429866369710467,25.215,43.3183,76.9783,№198 mektep,7,North Central,898,2
ag_167689,49.41238521836507,33.37,43.3046,76.853,№22 Qalalyq emhana,5,West Central,893,1
ag_167691,34.808285077951005,31.915,43.3177,76.9839,Zhas Qanat aud. (Khmelnitskiy k-si.),7,North Central,898,2
ag_167693,24.43444938820912,24.3,43.2227,76.8467,Jetisu 2,3,West Residential,899,1
