draw,random_network_mean_MAE_ugm3
648,29.278418568019845
649,16.72484701576207
650,18.424036360028335
651,22.585514339112162
652,16.932391716694312
653,21.36361141475243
654,21.20699431206882
655,18.059341721871824
656,16.662090508990648
657,21.190047309297654
658,23.269374183347782
659,13.174501214537528
660,29.201686196035784
661,20.961792903736637
662,17.55430397158494
663,24.57990236568905
664,18.32388825184735
665,15.103715365954272
666,20.397786443917244
667,16.858910027117524
668,20.389872191842933
669,19.86205583133369
670,16.728708549855416
671,24.404784201161416
672,18.576065458885342
673,13.276418853097601
674,22.958559521658014
675,21.519450526702126
676,27.31515143947838
677,21.630566773945045
678,15.804073479980602
679,17.406689533728237
680,23.720022514039048
681,26.281116989733608
682,23.180567242028204
683,21.312023046844555
684,27.577886643548638
685,15.322833104111936
686,22.322376483128156
687,17.953131275390344
688,19.095889885101336
689,24.6561337108912
690,23.165044793421334
691,17.18824024180816
692,18.088702224917714
693,13.869059973108698
694,17.114369557482473
695,15.444401995025336
696,21.151916052499782
697,24.275109859057583
698,25.98840997753376
699,20.551031017609805
700,16.038790427435867
701,17.60932182345294
702,17.993945213869893
703,22.095201063234594
704,28.48878005073143
705,19.83014475735815
706,24.317170133301364
707,22.752098693002893
708,21.326236396120187
709,17.024426555637962
710,16.961647553805303
711,15.729605523213229
712,16.276621995897777
713,25.88196786619677
714,21.319185919311654
715,19.80060643257988
716,15.04331599117171
717,20.44654933190076
718,19.703725809000066
719,25.20452390572852
720,21.075305993497025
721,18.660031430867836
722,21.58912810788155
723,16.868919696304946
724,23.874438774913386
725,24.217772257450008
726,18.769538158286565
727,21.16571919230979
728,16.266697856697323
729,23.632692703756252
730,22.412470795404925
731,20.900803515257596
732,19.083505376253246
733,19.008348867502658
734,17.579846807083104
735,15.807385713448403
736,21.547387201443822
737,16.390305527703195
738,14.426422895956897
739,20.022670485107238
740,28.33934778310318
741,18.03128300470252
742,24.576512632525944
743,16.04070852964917
744,22.64186485293079
745,16.642775544374263
746,14.57393266472434
747,20.8360581138549
748,17.771137273581946
749,19.517903623152794
750,18.928435498751288
751,21.3758797878471
752,23.840759604421304
753,19.147111217227764
754,23.442085478062634
755,18.08329040227398
756,16.227333644125935
757,20.166610149491337
758,17.39839286316187
759,20.846417752412034
760,21.412650829336986
761,21.630096822947298
762,19.50215043276845
763,19.38783710033436
764,22.446519626059594
765,20.118090663347818
766,21.79862176157304
767,24.394720069267223
768,23.922505154506222
769,23.66894997824949
770,22.561551853348444
771,19.127254337871246
772,22.55397900559322
773,14.64657698804974
774,19.526562067101267
775,22.655976114739456
776,18.600703872999922
777,26.24269628919413
778,18.023926704867506
779,22.785328434096233
780,25.054592261954753
781,23.057531487566738
782,19.019116675471818
783,22.08876015444247
784,19.189923066122784
785,18.998091070851036
786,21.597897872366996
787,15.808294751438616
788,15.554663100490592
789,25.978879553348705
790,20.03688661209625
791,19.506532530805718
792,18.409111970731647
793,17.913184021023422
794,22.142704103269022
795,18.967428566853084
796,22.010295628344547
797,18.19078988188684
798,13.26355844396413
799,21.634039248668973
800,19.969741775942236
801,23.698042233675505
802,20.365540425508804
803,26.027647114680516
804,20.71885786718599
805,21.828123738314456
806,24.502240206999804
807,15.740865059301525
808,24.34948651789189
809,21.689790624584997
810,19.3248321045049
811,20.936955642378262
812,17.893390063619268
813,17.327878949618448
814,26.103265268562154
815,13.668115667312014
816,17.595477667190234
817,16.03070561746154
818,22.672103326606674
819,12.368683916029324
820,27.88800406261352
821,28.70331032645196
822,29.798509479381888
823,19.070505715380307
824,18.46402594795459
825,13.282444002124818
826,20.762096404819015
827,16.838082727682362
828,22.113397143103423
829,25.11635495878787
830,20.628946255181507
831,19.351097949017475
832,19.76519602582774
833,15.996628117413872
834,19.630524527881892
835,20.956749499949083
836,18.591012378446603
837,21.513907088902783
838,19.20083182739057
839,20.495411196252032
840,17.04011594437769
841,22.725859361128062
842,23.23004413168779
843,19.02684187220899
844,16.470660068729973
845,18.251294055346612
846,18.812357317088185
847,18.806123180334627
848,18.355493727844287
849,15.859481882316034
850,15.078767784012028
851,15.153051036527687
852,19.702610661667507
853,23.534612483664674
854,23.167904432483862
855,20.866849719648357
856,18.282399158036853
857,20.80684449889576
858,19.94731883512393
859,22.200819099158696
860,24.39300848206554
861,20.542724932178675
862,22.49167196626321
863,26.937918037682437
864,19.383399971134335
865,17.4916519379024
866,18.396921256119022
867,19.719228185224072
868,27.22324588599011
869,22.726376764918708
870,19.959694330821247
871,27.24821755224814
872,22.214656609579546
873,20.73626002301602
874,18.866414682158634
875,19.92034459098362
876,15.101046786746904
877,23.996612298676144
878,24.749923447427832
879,21.436771308440218
880,19.021017121446757
881,16.476645248294478
882,20.007805061719292
883,25.13732698191454
884,19.741749442413113
885,20.825612237464878
886,19.688160045243144
887,22.117087838938176
888,16.694990651337246
889,18.102586964786344
890,22.04906746982678
891,26.189885895742034
892,20.915298986107782
893,17.499266039034286
894,14.39893012497611
895,21.691647792288634
896,19.975052409147825
897,22.808934619259276
898,25.18661210459436
899,16.801260535971267
900,12.755901549856299
901,19.352245130411585
902,17.916026379438804
903,18.2724370616364
904,15.898976915507026
905,20.598947639428562
906,23.949534522061132
907,21.794428727920305
908,16.920805891220127
909,18.113745547991147
910,20.34006772581075
911,18.19091374989388
912,17.403639760424277
913,29.50774412867916
914,16.93301758129557
915,23.45371888556384
916,18.34009839027595
917,24.310447757294337
918,23.62043886364178
919,19.767776213759223
920,23.19050117352189
921,21.282816454977198
922,23.020306252667623
923,22.5421289284767
924,16.474965356647427
925,17.215070525374227
926,18.70755751475956
927,30.275756031958323
928,14.616041710899191
929,25.184306091257444
930,14.767142830907531
931,16.577432379856095
932,19.455348190900825
933,17.40112223057531
934,28.211877467711915
935,25.912613240022555
936,14.380548379266692
937,20.353660448430798
938,21.843126183430865
939,28.41316885631785
940,17.005941360416944
941,23.26846912373944
942,23.622123241406328
943,18.63200572188303
944,15.194655981106118
945,29.23922448346011
946,22.04036425396423
947,21.889657405040353
948,28.672555263896072
949,21.13709861822288
950,22.483407679129883
951,26.771058323994286
952,21.20910220129934
953,21.64195910871977
954,19.34514121386719
955,21.19398969214335
956,21.838918340130448
957,22.415137793283566
958,21.178257257675455
959,17.92875804662013
960,14.19182634976425
961,20.6098291852663
962,20.474539987731145
963,16.926480699531172
964,22.80373241338964
965,19.072926781142662
966,18.34756237175841
967,18.62441002665105
968,19.74557710956696
969,21.748739996099342
970,19.151176974732937
971,23.88312523350224
972,27.748922613844858
973,25.28747996910785
974,25.24534469606172
975,22.835236824024992
976,17.701721258195093
977,22.024108817314072
978,14.132648715440274
979,21.360845631599307
980,22.015284334351705
981,17.725118353116255
982,18.675739159360344
983,16.812230683355974
984,21.701621057668163
985,20.86658256387857
986,18.905703721928763
987,14.961433000516047
988,16.730798645137124
989,22.52899055722295
990,21.75442362050806
991,22.669414880421527
992,19.473315878504316
993,19.918845456995488
994,21.10314241921782
995,19.159567139510802
996,18.90222158572084
997,20.8338170812727
998,15.541640167953544
999,19.886580361307924
1000,17.848236160074723
1001,21.050354456160118
1002,18.96159634125753
1003,19.379473221191812
1004,18.663085534975682
1005,17.602405808438373
1006,16.21073522630441
1007,20.201579324355034
1008,18.005218600708577
1009,20.432695490385196
1010,24.82606259301454
1011,24.723882609115687
1012,22.330830410030917
1013,15.878451970017103
1014,23.619396793559474
1015,17.92377904537648
1016,24.08234395140931
1017,24.18576830312966
1018,23.694155270729798
1019,24.431640580708475
1020,14.502447774288056
1021,17.386946436555455
1022,22.471895318407906
1023,16.908604031014438
1024,23.38133931597208
1025,20.053103075904637
1026,19.69733018438745
1027,24.26764487330784
1028,20.054191126645314
1029,21.224933820028223
1030,27.907178409889678
1031,26.169986119342884
1032,22.1755254289065
1033,24.599839478774456
1034,19.614396615209557
1035,17.63599790975547
1036,20.796136097515113
1037,16.780894439384962
1038,28.24452930818306
1039,19.594192979037807
1040,25.536835154329065
1041,21.09560360381901
1042,22.23717332751373
1043,17.69942451846408
1044,18.877567127485502
1045,21.122608650197588
1046,20.392520387306806
1047,15.405053213879853
1048,16.876762588040464
1049,20.715361971145715
1050,21.728276637067243
1051,26.434165774925248
1052,21.3549547207906
1053,22.641994562218727
1054,16.840190062863858
1055,23.583259161078484
1056,18.41871659970152
1057,21.27712893654315
1058,26.32039961730202
1059,24.322444129087117
1060,19.807138116377427
1061,23.32119649912427
1062,20.894815042137434
1063,12.819101751519563
1064,16.057262584934584
1065,18.773308611925064
1066,16.293647585758716
1067,14.802389030354576
1068,25.927991420839763
1069,20.863212641351875
1070,26.889877416740944
1071,20.978638317654134
1072,18.15488093032759
1073,20.10396442303259
1074,18.301515412561336
1075,19.167620951205958
1076,20.04910667500012
1077,15.400675178100487
1078,21.94489272309235
1079,23.992495040288308
