station_id,station_name,source,lat,lon,cluster_id,cluster_name,n_obs,first_utc,last_utc,parameters,x_utm_m,y_utm_m,nearest_kgmt_id,distance_to_nearest_kgmt_m,ag_neighbors_500m,ag_neighbors_1000m,ag_neighbors_2000m,ag_neighbors_5000m,distance_to_kgmt_centroid_m
ag_167254,Ainabulaq (Jumabayev k-si) ,airgradient,43.3238,76.9111,7,North Central,901,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,654951.8810108571,4798546.676265108,kgmt_59,2781.0211336015104,0,0,3,18,3004.4680722214503
ag_167255,Almağül (Serkebaev – Strauss),airgradient,43.2049,76.8999,2,South Central,886,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,654343.9713970695,4785321.240271478,kgmt_27,2849.4273804899144,0,1,8,31,10315.403888613742
ag_167257,Abai – Seifullin ,airgradient,43.241181,76.933831,4,City Center,901,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,657007.3529655356,4789413.647079636,kgmt_56,369.13604662249014,0,1,8,31,6365.790841496614
ag_167258,"Kókqaınar auyly, №29 mektep",airgradient,43.450782,76.943029,9,Far North,870,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,657212.0926954302,4812709.003952856,kgmt_57,9369.1282414471,0,0,0,2,17222.13310550166
ag_167259,Kerei Janibek k-si – Gornyi t.,airgradient,43.2362,76.9652,4,City Center,891,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,659567.2608544682,4788919.862865633,kgmt_56,2545.597681836643,0,0,4,23,7842.715627081637
ag_167263,Ayajan (Talas k-si),airgradient,43.3179,76.9374,7,North Central,901,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,657099.5389894918,4797940.588562149,kgmt_59,2107.0047830921467,0,1,4,23,2894.060863686846
ag_167264,Vagjanov - Jansugurov k-si ,airgradient,43.3054,76.9312,7,North Central,901,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,656628.8925226937,4796540.712505659,kgmt_59,671.0473036452703,0,0,6,26,1539.9289157386993
ag_167265,Jas Qanat,airgradient,43.3251,76.9866,7,North Central,900,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,661070.125153506,4798833.973280019,kgmt_26,3147.2757852313634,0,1,4,21,6515.428455360967
ag_167266,"Qyzylqaırat , №19 mektep gimnaziya",airgradient,43.303307,77.185303,6,East Suburbs (Talgar),864,2026-03-19 07:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,677244.4281739582,4796816.2888661185,kgmt_97,15846.43037010988,0,0,0,2,21853.872188515612
ag_167267,№163 litsei,airgradient,43.2204,76.9544,4,City Center,693,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,658731.3281243722,4787144.609308062,kgmt_56,2554.1410764058937,0,1,5,23,9059.814305878695
ag_167270,Altai 2,airgradient,43.3503,76.9888,7,North Central,902,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,661181.8041330405,4801636.904370291,kgmt_97,1835.0978544884472,0,0,4,16,8356.015724856967
ag_167271,Sharipov St.- Raimbek St. cross,airgradient,43.2456,76.8348,3,West Residential,637,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,648956.097651544,4789723.186208296,kgmt_58,2051.325396032288,0,2,4,26,8726.611205601155
ag_167415,Turğyt Özal – Yesenzhanov,airgradient,43.2406,76.8824,3,West Residential,877,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,652833.037282202,4789253.818141455,kgmt_56,4196.901686578867,0,1,4,39,6836.595669034956
ag_167417,Jambyl – Nurmaqov,airgradient,43.2452,76.9075,4,City Center,902,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,654859.3102800614,4789810.8705765195,kgmt_56,2296.9004693901447,0,1,7,37,5796.637187131529
ag_167418,№170 Böbekjai balabaqşasy,airgradient,43.3115,76.9015,7,North Central,901,2026-03-17 23:00:00+00:00,2026-04-25 08:00:00+00:00,pm25,654204.6092663464,4797162.88508051,kgmt_59,2262.249282879835,0,0,3,19,1999.2356894101208
ag_167419,Tastybulaq (Kazgiprozem),airgradient,43.1729,76.8154,1,Southwest Suburbs,884,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,647556.3044587971,4781615.03407383,kgmt_27,5971.755431091686,0,0,2,13,16029.332313831668
ag_167420,Duman (Arys k-si) ,airgradient,43.2777,77.0055,4,City Center,881,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,662728.9657484292,4793606.454221222,kgmt_60,1673.508718779454,0,0,1,10,7565.295079645566
ag_167422,"Belbulak, №32 mektep",airgradient,43.3121,77.098,6,East Suburbs (Talgar),866,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,670138.767476107,4797611.207323109,kgmt_60,9110.994822828452,0,0,0,1,14852.777698770338
ag_167423,Asqarov k-si,airgradient,43.1952,76.8645,2,South Central,827,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,651492.0878865697,4784179.295571227,kgmt_27,2498.9807702222192,0,0,3,25,12059.990539417444
ag_167424,5-şi şağyn audan ,airgradient,43.2337,76.8642,3,West Residential,902,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,651372.4220251747,4788454.41751032,kgmt_55,4518.656359151421,0,2,5,39,8197.488136622924
ag_167428,Şanyraq 2 (Baldáuren k-si) ,airgradient,43.2904,76.8507,5,West Central,850,2026-03-17 23:00:00+00:00,2026-04-25 06:00:00+00:00,pm25,650136.7589016624,4794726.998893394,kgmt_28,932.9186320280384,0,0,2,16,5357.1179920597415
ag_167430,AKPTiT kolledj ,airgradient,43.3958,76.9865,9,Far North,876,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,660875.0307722795,4806685.669047219,kgmt_57,2421.498803421122,0,0,0,6,12370.827219391866
ag_167431,Samğau ş.a. (Kokorai k-si) ,airgradient,43.2706,76.8612,5,West Central,876,2026-03-17 23:00:00+00:00,2026-04-25 08:00:00+00:00,pm25,651037.5703455065,4792546.9897075435,kgmt_55,1336.7643842638581,0,0,3,26,5334.0732439273515
ag_167432,Qazybek bi – Nurmaqov,airgradient,43.2537,76.9064,4,City Center,899,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,654748.4765386463,4790752.818044832,kgmt_56,2845.746804276582,0,1,8,32,4874.222602312442
ag_167433,Sairan (Ötegen batyr k-si),airgradient,43.2414,76.8608,3,West Residential,898,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,651077.3055518345,4789303.40393412,kgmt_55,3620.894450769002,0,1,3,34,7635.463560515832
ag_167435,Süyinbai 487,airgradient,43.358,76.9792,7,North Central,876,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,660383.4686094362,4802473.557741729,kgmt_57,2094.5545773911167,1,1,4,16,8491.462067478054
ag_167436,Qazaqfilm (Baiydosov k-si),airgradient,43.1933,76.9035,2,South Central,876,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,654665.7429940084,4784039.637236994,kgmt_27,1875.0396287622912,0,0,5,22,11565.133335202054
ag_167437,Aqbulaq (Baiqonyrov k-si) ,airgradient,43.2636,76.8336,5,West Central,900,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,648814.8226531176,4791720.071396175,kgmt_55,1290.4460932206027,0,0,3,24,7655.017624888311
ag_167580,№12 Qalalyq emhana,airgradient,43.2355,76.9113,2,South Central,883,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,655192.4454686481,4788740.665338133,kgmt_56,1857.3807110070709,0,1,8,38,6843.090248434351
ag_167584,GATOB,airgradient,43.2497,76.9458,4,City Center,879,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,657957.1155490241,4790382.2906540455,kgmt_56,1630.3032362024662,0,0,5,29,5781.235251213884
ag_167585,"QazTSIK, №40 mektep",airgradient,43.3782,76.8364,5,West Central,899,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,648762.108965114,4804452.30648395,kgmt_25,3974.6248910637537,0,0,0,0,11096.094330735434
ag_167586,"Tuıimebaev auyly, №19 mektep ",airgradient,43.4134,76.914,9,Far North,893,2026-03-17 23:00:00+00:00,2026-04-25 06:00:00+00:00,pm25,654958.6664310679,4808502.959663985,kgmt_25,7045.101849588634,0,0,0,1,12931.60749940173
ag_167588,Prezident sayabağı,airgradient,43.1944,76.8876,2,South Central,805,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,653371.0287642817,4784132.532369887,kgmt_27,1516.3310929527386,0,0,5,25,11630.1625826075
ag_167589,Qalalyq kardiologiya ortalyğı,airgradient,43.2536,76.9283,4,City Center,901,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,656526.4662493598,4790782.492108728,kgmt_56,1807.6029411466727,0,1,8,33,4921.990396821571
ag_167590,№86 mektep-gimnaziya,airgradient,43.219879,76.859159,3,West Residential,893,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,650997.2086135014,4786910.392953837,kgmt_27,4940.486341706312,0,1,6,34,9734.920472077172
ag_167591,SDU,airgradient,43.208174,76.668446,1,Southwest Suburbs,204,2026-03-17 23:00:00+00:00,2026-03-27 05:00:00+00:00,pm25,635533.5081898003,4785283.84772566,kgmt_58,13313.576305044864,0,0,1,2,22398.665719904147
ag_167592,Mamyr 1,airgradient,43.2114,76.8434,3,West Residential,902,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,649738.0178426909,4785940.417067014,kgmt_27,4976.714599056244,0,0,5,32,11192.210791377456
ag_167593,№4 Qalalyq emhana (Orbita 3),airgradient,43.2019,76.8766,2,South Central,873,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,652458.5566353583,4784945.348889158,kgmt_27,2527.158268155349,0,1,6,31,11040.577078695382
ag_167594,№178 mektep,airgradient,43.2499,76.8143,3,West Residential,901,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,647281.429778672,4790164.406444896,kgmt_58,1008.0848386727839,0,1,4,21,9780.248001758864
ag_167595,Narxoz University ,airgradient,43.214577,76.871985,2,South Central,822,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,652052.1127705394,4786344.808351508,kgmt_27,3978.056478726998,0,0,5,31,9831.833486624444
ag_167596,Ońtústik saıabaǵy | MOST hub ,airgradient,43.2103,76.9083,2,South Central,874,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,655012.7062638926,4785936.475978668,kgmt_27,3670.9680967098193,0,1,6,31,9652.14149354978
ag_167597,№42 mektep,airgradient,43.2373,76.8333,3,West Residential,879,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,648854.5317922097,4788798.7449123375,kgmt_58,2723.117465367461,0,1,6,26,9442.508437103805
ag_167598,№116 mektep,airgradient,43.2255,76.8685,3,West Residential,887,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,651741.936585601,4787551.547579568,kgmt_27,5218.7273233136675,0,2,6,35,8832.988948487686
ag_167600,"Baıkent, №10 orta mektep",airgradient,43.474545,76.807185,9,Far North,641,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,646163.3518696871,4815100.65508808,kgmt_25,14225.289199028846,0,0,0,0,21606.781711889755
ag_167601,"Kyrgauyldy auyly, Orta mektep",airgradient,43.1793,76.7701,1,Southwest Suburbs,888,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,643859.1986753875,4782246.934517221,kgmt_27,9591.224724084914,0,0,1,8,17650.657187426074
ag_167602,№47 mektep,airgradient,43.1919,76.9681,0,South Foothills,880,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,659918.4971596476,4784005.59179496,kgmt_56,5811.082796778706,0,0,0,8,12415.649619005544
ag_167604,Almaty oblystyq №1 balalar uyi,airgradient,43.201,76.9136,2,South Central,896,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,655466.8643384367,4784913.4877157435,kgmt_27,3060.1722089805908,0,0,5,30,10666.375894294824
ag_167605,Qoşmambet orta mektebi,airgradient,43.3322,76.6498,8,Far West,849,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,633746.8749646614,4799027.692873719,kgmt_58,15834.775006372995,0,0,0,0,21951.165920926072
ag_167606,№190 mektep ,airgradient,43.1573,76.9017,0,South Foothills,674,2026-03-17 23:00:00+00:00,2026-04-17 12:00:00+00:00,pm25,654610.3130306271,4780038.306241836,kgmt_27,2831.3359235749845,0,0,1,7,15562.845376549698
ag_167608,Ermensai (Araily k-si),airgradient,43.1885,76.9304,0,South Foothills,886,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,656863.8081654565,4783556.641067662,kgmt_27,3547.032588936357,0,0,2,19,12108.860422690434
ag_167610,Alatau kenti (Jetbaev k-si),airgradient,43.3615,77.1367,6,East Suburbs (Talgar),767,2026-03-17 23:00:00+00:00,2026-04-21 06:00:00+00:00,pm25,673136.779080956,4803177.141632288,kgmt_97,10561.618240988182,0,0,0,1,19271.92122762237
ag_167613,"Tuzdybastau, №13 mektep ",airgradient,43.3239,77.0644,6,East Suburbs (Talgar),852,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,667381.47256964,4798853.775265268,kgmt_97,6229.624877798973,0,0,0,3,12396.07775638017
ag_167614,Al Farabi Universiteti,airgradient,43.2267,76.9217,2,South Central,870,2026-03-17 23:00:00+00:00,2026-04-25 08:00:00+00:00,pm25,656059.3775185322,4787782.722253671,kgmt_56,1589.0447965298329,0,0,5,37,7822.779855074633
ag_167615,№7 Su Elektr Stansiäsy,airgradient,43.1658,76.8962,0,South Foothills,887,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,654141.767908624,4780972.136578467,kgmt_27,1787.8877543716396,0,0,1,12,14663.952006918975
ag_167616,№63 orta mektep,airgradient,43.2169,76.8901,2,South Central,869,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,653517.7091769071,4786635.881944633,kgmt_27,4018.6499205934206,0,1,7,34,9145.123955994275
ag_167617,"Gūldala, №21 mektep",airgradient,43.3516,77.0573,6,East Suburbs (Talgar),806,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,666729.9480451206,4801915.900204768,kgmt_97,4247.149697956505,0,0,0,1,12958.990932520517
ag_167618,Ortalyq demalys sayabağy,airgradient,43.2645,76.9727,4,City Center,895,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,660102.0749808528,4792077.125754713,kgmt_60,3000.393787300332,0,0,4,22,5842.803843569211
ag_167619,Tereńqur ,airgradient,43.2179,76.9693,4,City Center,771,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,659948.0352991638,4786895.35500088,kgmt_56,3628.54045700544,0,1,3,14,9791.42673450445
ag_167620,Perzenthana (Basenov 2a),airgradient,43.2221,76.8994,2,South Central,520,2026-03-27 13:00:00+00:00,2026-04-18 15:00:00+00:00,pm25,654259.9766167303,4787230.487337085,kgmt_56,3306.9725436434446,0,1,6,38,8430.263673923042
ag_167621,"Shamalǵan, Tleubaev atyndaǵy mektep",airgradient,43.374,76.6266,8,Far West,829,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,631775.5568852543,4803632.99705663,kgmt_28,20058.4709811396,0,0,0,0,24983.537301220396
ag_167622,"Bereke auyly, Beisebaev atyndaǵy orta mektep",airgradient,43.3711,76.7114,8,Far West,805,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,638652.1741820459,4803448.400790811,kgmt_25,13393.560984757267,0,0,0,1,18527.32521239475
ag_167623,"Qaskelen, Belinskiı atyndaǵy mektep",airgradient,43.1952,76.6209,1,Southwest Suburbs,341,2026-04-10 05:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,631699.0300700252,4783767.090903759,kgmt_58,17427.12456088309,0,0,0,1,26504.493506879662
ag_167630,№153 mektep-gimnaziya,airgradient,43.2209,76.8362,3,West Residential,847,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,649129.99389191,4786982.587350595,kgmt_58,4482.418872133472,0,2,6,28,10655.796617052269
ag_167633,Raiymbek - Jangeldin,airgradient,43.2714,76.9568,4,City Center,277,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,658793.6729527612,4792813.082252724,kgmt_60,3314.283972456804,0,1,4,27,4358.759795842017
ag_167634,Kensai (Şoqai k-si),airgradient,43.2662,76.986,4,City Center,896,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,661177.0274851774,4792291.491620517,kgmt_60,2464.2684913959074,0,0,2,15,6625.117638782967
ag_167635,Jañaturmys (Altynsarin k-si),airgradient,43.174919,76.788939,1,Southwest Suburbs,455,2026-03-17 23:00:00+00:00,2026-04-25 06:00:00+00:00,pm25,645400.7081037561,4781792.952274296,kgmt_27,8084.737979855776,0,0,1,11,17046.245274852216
ag_167637,№142 mektep,airgradient,43.3611,76.9966,7,North Central,902,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,661785.2617909287,4802851.442452325,kgmt_97,796.2641311442775,0,0,4,14,9660.370761711687
ag_167639,№85 mektep ,airgradient,43.3549,76.9524,7,North Central,873,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,658219.751784639,4802078.097334192,kgmt_26,1871.8084019319672,0,0,2,20,7073.5818162833175
ag_167641,№61 mektep,airgradient,43.3299,76.9477,7,North Central,877,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,657903.6670337263,4799292.724621478,kgmt_26,972.8458915428441,0,0,3,25,4463.957846085972
ag_167642,Almaty şipazhaiy,airgradient,43.1759,76.8726,0,South Foothills,885,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,652198.1925539948,4782050.616142794,kgmt_27,1368.2081629109969,0,0,1,19,13908.785258268432
ag_167643,№170 mektep,airgradient,43.3364,76.9775,7,North Central,901,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,660302.5610396339,4800071.416626859,kgmt_26,2069.1298819826357,0,0,4,19,6630.222910018143
ag_167644,Rahat Konditerlik fabrikasy,airgradient,43.263037,76.957877,4,City Center,877,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,658902.8347186876,4791886.355548756,kgmt_56,3406.024670660706,0,1,3,28,5072.752208968794
ag_167645,№98 mektep,airgradient,43.2886,76.9765,4,City Center,877,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,660347.1672490264,4794760.90548804,kgmt_60,1146.6753032468557,0,0,1,22,4989.261354676142
ag_167646,№16 äskeri qalaşıq (Süyinbai d.),airgradient,43.3695,76.9869,7,North Central,901,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,660977.0258498974,4803765.572831789,kgmt_57,681.7458998590392,0,0,3,11,9890.695655010091
ag_167647,№11 orta mektep,airgradient,43.3454,76.9588,7,North Central,902,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,658763.1807361178,4801035.195120882,kgmt_26,981.288140157164,0,0,3,21,6395.403988484187
ag_167649,Nurtau golf club,airgradient,43.1934,76.8186,1,Southwest Suburbs,896,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,647766.9394159297,4783897.317506741,kgmt_27,5818.703253499658,0,0,1,22,13969.057347502294
ag_167650,№200 mektep-gimnaziya,airgradient,43.198,76.7905,1,Southwest Suburbs,891,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,645472.7470634489,4784358.935785266,kgmt_58,7084.493371091348,0,0,2,15,14998.867104821311
ag_167651,Saiyalı (Avtotsón) ,airgradient,43.3038,76.837,5,West Central,901,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,648992.6002785346,4796190.636473231,kgmt_28,1301.8297491961491,0,0,2,10,6461.902038381764
ag_167652,Saudakent (Kazakov k-si),airgradient,43.2668,76.8949,4,City Center,900,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,653781.9780580205,4792186.439393496,kgmt_55,4103.613226129075,0,1,5,30,3770.4328335453242
ag_167654,№31 orta mektep,airgradient,43.3253,76.9676,7,North Central,902,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,659529.0776293671,4798819.6962612765,kgmt_26,1894.7778968522764,0,0,7,24,5228.369584631817
ag_167655,Jumysşy kenti (Krylov k-si),airgradient,43.2735,76.8904,5,West Central,878,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,653399.9353439494,4792922.251752977,kgmt_55,3704.53077913589,0,1,3,30,3341.504429283502
ag_167656,№162 mektep,airgradient,43.3118,76.9557,7,North Central,899,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,658599.3499514579,4797297.733064146,kgmt_59,2729.076667354731,0,1,4,23,3608.913999489436
ag_167657,Tastybulaq (ST Qanat) ,airgradient,43.1636,76.8097,1,Southwest Suburbs,789,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,647115.321851922,4780572.189101824,kgmt_27,6650.386825314802,0,0,1,8,17154.82549220708
ag_167658,Tausamaly,airgradient,43.1732,76.8317,1,Southwest Suburbs,825,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,648880.4741426869,4781677.211578238,kgmt_27,4658.736049485925,0,0,2,12,15366.1877650485
ag_167659,Nuriddin (Arystanbab k-si) ,airgradient,43.1868,76.8599,2,South Central,836,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,651139.0592463987,4783238.1088082325,kgmt_27,2386.1910171901905,0,0,3,25,13064.879285881556
ag_167660,Baým toǵaıy,airgradient,43.2939,76.9449,4,City Center,675,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,657769.7929470672,4795289.334230997,kgmt_59,1767.7892465469104,0,1,3,28,2362.152603775479
ag_167661,№206 mektep-gimnaziya,airgradient,43.208327,76.819198,3,West Residential,886,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,647779.486230036,4785556.10387318,kgmt_58,5603.588832512039,0,0,5,27,12607.009120033747
ag_167662,"Ötegen Batyr, №24 litsei",airgradient,43.4143,77.0315,9,Far North,900,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,664469.3252308543,4808828.111437202,kgmt_57,5468.730142199782,0,0,0,1,16040.816242811043
ag_167663,№17 mektep,airgradient,43.3144,76.9657,7,North Central,901,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,659403.5302634635,4797605.529403314,kgmt_26,2850.130667951153,0,1,4,26,4464.062323512333
ag_167665,№112 mektep,airgradient,43.2937,76.9154,4,City Center,795,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,655377.214961208,4795211.819209458,kgmt_59,1154.5504208095213,0,0,3,26,371.12743514008537
ag_167668,№157 mektep,airgradient,43.2197,76.8015,1,Southwest Suburbs,893,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,646314.587218291,4786788.031867791,kgmt_58,4517.874599528702,0,2,3,16,12661.153898201519
ag_167669,№156 mektep ,airgradient,43.3224,76.8863,5,West Central,829,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,652944.5678257059,4798345.457658108,kgmt_28,3854.3153840334285,0,0,2,13,3715.4138815629044
ag_167670,Sūltan-Qorǵan (Bespaqov k-si),airgradient,43.3167,76.9266,7,North Central,902,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,656226.8461013171,4797787.051505014,kgmt_59,1739.7182265021993,0,1,4,23,2348.2083700740454
ag_167672,№168 Balabaqşa,airgradient,43.3105,76.8742,5,West Central,752,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,651993.125097323,4797001.768645123,kgmt_28,2255.5770404084733,0,0,2,15,3715.3311953570096
ag_167673,№179 mektep,airgradient,43.3382,76.8995,7,North Central,901,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,653974.93730271,4800124.449647325,kgmt_25,2821.1053791639397,0,0,1,12,4770.567059006489
